Companies	Details
Designation	Chief Executive/Managing Director
Company	Ellcot Spinning Mills Limited
Address	"Nagina House , 91-B-1, M. M. Alam Road,Gulberg-III,Lahore"
Phone	042-5756270-77
Phone 2	042-5754811-16
Fax	042-5711856-5753820
Date of Listing	07/05/1990
Email	ellcot@brain.net.pk / info@nagina.com
URL	www.nagina.com/ellcot
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Sh. Zafar Iqbal
Designation	Chief Executive
Company	Fatima Enterprises Limited
Address	"78/78-A, Bohra Street, Karim Shopping Centre , Multan Cantt.,Multan"
Phone	061-4586926
Phone 2	
Fax	
Date of Listing	08/12/1977
Email	info@fatima.com.pk
URL	www.fatima.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Muhammad Sohail Tabba
Designation	Chief Executive
Company	Gadoon Textile Mills Limited
Address	"7-A, Mohammad Ali Housing Society , Abdul Aziz Hashim Tabba Street,Karachi"
Phone	021-35205479-80 - 34397701-05
Phone 2	021-35205479-80 - 34397701-05
Fax	021-34382436-34536299
Date of Listing	22/03/1994
Email	secretary@gadoontextile.com
URL	www.gadoontextile.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Arif Haji Habib
Designation	Chief Executive
Company	Globe Textile Mills Limited
Address	"105, Ibrahim Trade Tower , Shahrah-e-Faisal,Karachi"
Phone	021-34327534-35
Phone 2	
Fax	021-34327536
Date of Listing	26/06/1969
Email	info@globetextile.com
URL	www.globetextile.com
Registrar	
	
Representative	Mr. Sohail Maqsood
Designation	Chief Executive
Company	Gulshan Spinning Mills Limited
Address	"2nd Floor, Finlay House , I.I Chudrigar Road,Karachi"
Phone	111-200-000
Phone 2	32419943-32419970
Fax	32411559
Date of Listing	24/04/1989
Email	
URL	www.gulshan.com.pk
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Sohail Maqsood
Designation	Chief Executive
Company	Gulistan Spinning Mills Limited
Address	"2nd Floor Finlay House , I. I. Chundrigar Road,Karachi"
Phone	021-32419943 - 111-200-000
Phone 2	021-32419947
Fax	021-32411559
Date of Listing	08/02/1994
Email	khi@gulistangroup.com.pk
URL	www.gulistangroup.com.pk
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Naseer Ahmed
Designation	Chief Executive
Company	Gulistan Textile Mills Limited
Address	"2nd Floor, Finlay House , I. I. Chundrigar Road,Karachi"
Phone	021-32419943 - 111-200-000
Phone 2	021-32419947
Fax	021-32411559
Date of Listing	01/02/1968
Email	khi@gulistangroup.com.pk
URL	www.gulistan.com.pk
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Noor Ellahi
Designation	Chief Executive
Company	Hajra Textile Mills Limited
Address	"45-50, Industrial Area , Gulberg III,Lahore"
Phone	35756181-83-85
Phone 2	35756185-35756196
Fax	35759466-35756194
Date of Listing	09/04/1990
Email	"hajratex@pol-net.pk, htmlhr@brain.net.pk"
URL	
Registrar	
	
Representative	Mr. Muhammad Umar Virk
Designation	Chief Executive
Company	Hira Textile Mills Limited
Address	"8KM Manga Raiwind Road, Raiwind , Disstt: Kasur,Kasur"
Phone	042-35714191-4
Phone 2	
Fax	042-35710048
Date of Listing	20/02/2007
Email	hira@hiramills.com.pk
URL	www.hiramills.com.pk
Registrar	Vision Consulting Limited
	
Representative	Mr. Farrukh Shafiq
Designation	Chief Executive
Company	Haji Mohammad Ismail Mills Limited
Address	"409-Commerce Centre , Hasrat Mohani Road,Karachi"
Phone	021-32638521-4
Phone 2	
Fax	021-32639843
Date of Listing	29/11/1994
Email	info@hmiml.com
URL	www.hmiml.com
Registrar	Najeeb Consultants (Pvt.) Limited
	
Representative	Mr. S.M. Mansoor Allawala
Designation	Chief Executive Officer
Company	Idrees Textile Mills Limited
Address	"6-C, Ismail Centre, 1st Floor , Central Commercial Area, Bahadurabad,Karachi"
Phone	"34940026, 34940030-35"
Phone 2	
Fax	34931558-34945306
Date of Listing	08/07/1992
Email	info@idreestextile.com
URL	www.idreestextile.com
Registrar	M/s. JWAFFS Registrar Services (Pvt.) Limited
	
Representative	Mr. Amjad Saeed
Designation	Chief Executive Officer
Company	Ideal Spinning Mills Limited
Address	"404-405, 4th Floor, Business Centre , Mumtaz Hassan Road,Karachi"
Phone	"021-32412814-15, 32431531"
Phone 2	
Fax	021-32419817
Date of Listing	30/09/1991
Email	arshadcorp@cyber.net.pk
URL	www.idealsm.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mian Shahzad Ahmed
Designation	Chief Executive
Company	Indus Dyeing & Manufacturing Co. Limited
Address	"508, 5th Floor, Beaumont Plaza , Beaumont Road, Civil Lines Quarters,Karachi"
Phone	021-35693641 to 35693660
Phone 2	021-111-404-404
Fax	021-35693593-35693594
Date of Listing	14/10/1963
Email	info@indus-group.com
URL	www.indus-group.com
Registrar	M/s. JWAFFS Registrar Services (Pvt.) Limited
	
Representative	Mr. Imran Zahid
Designation	Chief Executive Officer
Company	J.A. Textile Mills Limited
Address	"J.K. House , 32-W, Susan Road, Madina Town,Faisalabad"
Phone	041-8721953-56
Phone 2	041-8556615-16
Fax	041-8712399
Date of Listing	18/02/1992
Email	sales@national-group.com
URL	www.jatml.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Lt.Gen.(Retd) Ali Kuli Khan Khattak
Designation	Chief Executive
Company	Janana De Malucho Textile Mills Limited
Address	"Habibabad , Kohat,Kohat"
Phone	(0922) 862161
Phone 2	(0922)512930-510494
Fax	(0922)510474
Date of Listing	01/11/1962
Email	janana@brain.net.pk
URL	www.jdm.com.pk
Registrar	Vision Consulting Limited
	
Representative	Mr. Faiq Jawed
Designation	Chief Executive Officer
Company	J.K. Spinning Mills Limited
Address	"34-Falcon Enclave, Tufail Road , Lahore Cantt.,Lahore"
Phone	042-36672695
Phone 2	
Fax	
Date of Listing	24/09/1990
Email	jkgroup@jkgroup.net.
URL	www.jkgroup.net
Registrar	
	
Representative	Mr. Muhammad Iqbal
Designation	Chief Executive Officer
Company	Khurshid Spinning Mills Limited
Address	"133-134, Regency , The Mall,Faisalabad"
Phone	041-2610030
Phone 2	
Fax	041-2610027
Date of Listing	30/10/1989
Email	mail@khurshidgroup.com
URL	www.khurshidgroup.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Assad Saifullah Khan
Designation	Chief Executive
Company	Kohat Textile Mills Limited
Address	"3rd Floor, City Centre Plaza , Main Bank Road, Saddar,Rawalpindi"
Phone	051-5700824-825
Phone 2	
Fax	051-5700829
Date of Listing	20/06/1970
Email	sabir.khan@saifgroup.com
URL	www.kohattextile.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Mohammed Naveed
Designation	Chief Executive
Company	Kohinoor Spinning Mills Limited
Address	"7/1-E-3, Main Boulevard , Gulberg-III,Lahore"
Phone	042-35757108
Phone 2	
Fax	042-35764043
Date of Listing	18/12/1984
Email	info@chakwalgroup.com.pk
URL	www.kohinoorspinningmills.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mian Tayyab Iqbal
Designation	Chief Executive Officer
Company	Khalid Siraj Textile Mills Limited
Address	"135-Upper Mall , ,Lahore"
Phone	042-35761706-7
Phone 2	
Fax	042-35761708
Date of Listing	19/11/1990
Email	kstml@barkatex.com
URL	www.kstml.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Amin A. Hashwani
Designation	Chief Executive
Company	Landmark Spinning Industries Limited
Address	"1st Floor, Cotton Exchange Building , I. I. Chundrigar Road,Karachi"
Phone	32412946-4
Phone 2	
Fax	32416725
Date of Listing	10/03/1993
Email	
URL	www.landmarkspinning.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mian Anis Ahmed Sheikh
Designation	Chief Executive Officer
Company	Maqbool Textile Mills Limited
Address	"Maqbool Centre , 2-Industrial Estate,Multan"
Phone	(061)6539551-52
Phone 2	(061)6537155
Fax	(061)6539042-6525215
Date of Listing	04/05/1992
Email	info@maqboolgroup.com
URL	www.maqboolgroup.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Amin Ellahi Sheikh
Designation	Chief Executive
Company	Nagina Cotton Mills Limited
Address	"2nd Floor, Sheikh Sultan Trust Building No. 2 , 26, Civil Lines, Beaumont Road,Karachi"
Phone	021-35688123-35688219
Phone 2	021-35686560-35680364
Fax	021-35683215
Date of Listing	26/10/1988
Email	"nagina@cyber.net.pk, karachi@nagina.com"
URL	www.nagina.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Zahid Mazhar
Designation	Chief Executive
Company	Nadeem Textile Mills Limited
Address	"801-804, 8th Floor, Lakson Square Bldg. No.3, Block-A , Sarwar Shaheed Road,Karachi"
Phone	35220481-8
Phone 2	
Fax	35220495-96
Date of Listing	19/11/1995
Email	info@nadeem.com.pk
URL	www.nadeem.com.pk
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mian Shahzad Aslam
Designation	Chief Executive Officer
Company	Nazir Cotton Mills Limited
Address	"61-K , Gulberg-III,Lahore"
Phone	042-35763736
Phone 2	
Fax	042-35763768
Date of Listing	04/10/1994
Email	nazircotton@yahoo.com
URL	
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Abdul Kadir Haji Adam
Designation	Chief Executive
Company	Premium Textile Mills Limited
Address	"Haji Adam Chambers, 1st Floor , Altaf Hussain Road, New Challi,,Karachi"
Phone	021-32416380-32400405-58
Phone 2	
Fax	021-32417908-32401726
Date of Listing	29/05/1989
Email	premhead@premiumtextile.com
URL	www.premiumtextile.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Shayan Abdullah
Designation	Chief Executive
Company	Reliance Cotton Spinning Mills Limited
Address	"149, Cotton Exchange Building , I. I. Chundrigar Road,Karachi"
Phone	111-000-100
Phone 2	32410930
Fax	32416705-32417418
Date of Listing	16/06/1993
Email	info@sapphire.com.pk
URL	www.sapphire.com.pk/rcsml
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Noor Elahi
Designation	Chairman & Chief Executive
Company	Ruby Textile Mills Limited
Address	"203, Faiyaz Centre, 2nd Floor , 3-A, S.M.C.H.S., Shahrah-e-Faisal,Karachi"
Phone	021-34396600-34387700
Phone 2	
Fax	021-34398800
Date of Listing	04/02/1992
Email	rubykhi@rubytextile.com.pk
URL	www.rubytextile.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Syed Masroor Hasnain
Designation	Chief Executive Officer
Company	Saif Textile Mills Limited
Address	"3rd Floor, City Centre Plaza , Main Bank Road, Saddar,Rawalpindi"
Phone	051-5700824
Phone 2	
Fax	051-5700829
Date of Listing	18/08/1992
Email	sabir.khan@saifgroup.com
URL	www.saiftextile.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Nauman Almas Sheikh
Designation	Chief Executive
Company	Salman Noman Enterprises Limited
Address	"41-L , Gulberg-III,Lahore"
Phone	042-35831286
Phone 2	"042-35969486,"
Fax	
Date of Listing	30/09/1991
Email	naumansheikh@hotmail.com
URL	www.sntextile.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Mohammad Hameed
Designation	Chief Executive
Company	Service Industries Textiles Limited
Address	"38, Empress Road , ,Lahore"
Phone	"042-36367862, 36304561-3"
Phone 2	
Fax	042-36367861
Date of Listing	16/06/1970
Email	info@prime-service.com
URL	www.prime-service.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Shahid Mazhar
Designation	Chief Executive Officer
Company	Shadman Cotton Mills Limited
Address	"2/E, Block-G, Mushtaq Ahmed Gurmani Road , Gulberg-II,Lahore"
Phone	042-35959121-25
Phone 2	
Fax	042-35959120
Date of Listing	19/12/1990
Email	abshahid@shadman.com.pk
URL	www.shadman.com.pk
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mian Aamir Naseem
Designation	Chief Executive
Company	Shadab Textile Mills Limited
Address	"A-601/A, City Towers , 6-K, Main Boulevard, Gulberg-II,Lahore"
Phone	042-35788714-16
Phone 2	
Fax	042-35788718
Date of Listing	25/08/1985
Email	shadstm@brain.net.pk
URL	www.shadabtextile.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mian Iqbal Salahuddin
Designation	Chief Executive Officer
Company	Sally Textile Mills Limited
Address	"2-S, , Gulberg-II,Lahore"
Phone	042-35754378
Phone 2	
Fax	042-35754394
Date of Listing	05/05/1970
Email	sallytex@hotmail.com
URL	www.sallytextile.com
Registrar	Corplink (Pvt) Limited
	
Representative	Hafiz Mohammed Irfan Nawab
Designation	Chief Executive
Company	Sana Industries Limited
Address	"33-D-2, Block-6 , P.E.C.H.S.,Karachi"
Phone	021-34322556-59
Phone 2	
Fax	021-32570833
Date of Listing	14/03/1988
Email	info@sana-industries.com
URL	www.sana-industries.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Muhammad Zeid Yousuf Saigol
Designation	Chief Executive Officer
Company	Saritow Spinning Mills Limited
Address	"17-Aziz Avenue, Canal Bank , Gulberg-V,Lahore"
Phone	"042-35717364-65, 35718274-75"
Phone 2	
Fax	042-35715105
Date of Listing	19/11/1992
Email	shares@saigols.com
URL	www.saritowspinningmillsltd.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Kashif Riaz
Designation	Chief Executive
Company	Sunrays Textile Mills Limited
Address	"508, 5th Floor, Beaumont Plaza , Beaumont Road, Civil Lines Quarters,Karachi"
Phone	021-5693641 to 5693660
Phone 2	
Fax	021-5693593-94
Date of Listing	11/05/1992
Email	info@indus-group.com
URL	www.indus-group.com
Registrar	M/s. JWAFFS Registrar Services (Pvt.) Limited
	
Representative	Mr. Imran Aslam
Designation	Chief Executive Officer
Company	Shahzad Textile Mills Limited
Address	"19-A, Off: Zafar Ali Road , Gulberg-V,Lahore"
Phone	"042-35716890, 35754027"
Phone 2	042-35754024
Fax	042-35712313 & 35711526
Date of Listing	31/08/1983
Email	info@shahzadtex.com
URL	www.shahzadtex.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Shahid Anwar Tata
Designation	Chief Executive
Company	Tata Textile Mills Limited
Address	"6th Floor, Textile Plaza , M. A. Jinnah Road,Karachi"
Phone	021-32426761
Phone 2	
Fax	021-32417710
Date of Listing	02/12/1991
Email	ttm.corporate@tatapakistan.com
URL	www.tatapakistan.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Ashfaq Ahmed
Designation	Chief Executive
Company	Ashfaq Textile Mills Limited
Address	"8-A/1, Officers Colony , Susan Road, Madina Town,Faisalabad"
Phone	041-8740101-3
Phone 2	92-300-8654477
Fax	041-8740105-6
Date of Listing	25/11/1991
Email	info@ashfaqtextile.com
URL	www.ashfaqtextile.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Mohammad Athar Malik
Designation	Chief Executive
Company	Hakkim Textile Mills Limited
Address	"7-Farid Kot Link Road , ,Lahore"
Phone	573552
Phone 2	570237
Fax	570238
Date of Listing	11/12/1989
Email	
URL	
Registrar	
	
Representative	Mr. Javaid S. Siddiqi
Designation	Chief Executive
Company	ICC Industries Limited
Address	"242 - A, Anand Road , Upper Mall,Lahore"
Phone	042-35751765-67
Phone 2	
Fax	042-35789206-35753664
Date of Listing	11/11/1991
Email	icctex@wol.net.pk
URL	www.icctextiles.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. M. Abid Saigol
Designation	Chief Executive
Company	Mohib Exports Limited
Address	"8th Kilometer , Manga Raiwind Road Mouzapura,Kasur"
Phone	(04951) 383601-05
Phone 2	
Fax	(04951) 383606
Date of Listing	06/04/1993
Email	
URL	
Registrar	
	
Representative	Mr. Raza Ellahi Shaikh
Designation	Chief Executive/Managing Director
Company	Prosperity Weaving Mills Limited
Address	"Nagina House, 91-B-1 , M. M. Alam Road, Gulberg-III,Lahore"
Phone	042-35756270-77
Phone 2	042-35754811-16
Fax	042-35753820-35711856
Date of Listing	17/10/1995
Email	info@nagina.com
URL	www.nagina.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Javed Mahyuddin
Designation	Chief Executive
Company	Sadoon Textile Industries Limited
Address	"49 K.M. Multan Road , Near Bhai Phero,Lahore"
Phone	
Phone 2	
Fax	
Date of Listing	24/09/1991
Email	
URL	
Registrar	
	
Representative	Mr. Mustafa Kamal Lodhi
Designation	Chief Executive Officer
Company	Samin Textiles Limited
Address	"8.7 KM, Multan Road, , Opposite Mansoorah,,Lahore"
Phone	042-35415421-5
Phone 2	042-111-31-32-33
Fax	
Date of Listing	30/08/1994
Email	tayyab@samintextile.com
URL	www.samintextile.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Mohammed Naeem
Designation	Chief Executive
Company	Shahtaj Textile Limited
Address	"Shahnawaz Building , 19-Dockyard Road,West Wharf,Karachi"
Phone	021-32312834-32313934-38
Phone 2	
Fax	021-32310623-32205723
Date of Listing	28/03/1992
Email	jamilbutt@shahtaj.com
URL	www.shahtaj.com
Registrar	M/s. JWAFFS Registrar Services (Pvt.) Limited
	
Representative	Khawaja Mohammed Nadeem
Designation	Chief Executive
Company	Yousaf Weaving Mills Limited
Address	"7/1-E-3, Main Bouelvard , Gulberg-III,Lahore"
Phone	042-35757108
Phone 2	
Fax	042-35764043
Date of Listing	18/12/1989
Email	nadeem@chakwalgroup.com.pk
URL	www.yousafweavingmills.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Mussaid Hanif
Designation	Chief Executive Officer
Company	Zephyr Textiles Limited
Address	"3rd Floor, IEP Building , 97-B/D-1. Gulberg-III,Lahore"
Phone	042-35714015-35782905
Phone 2	
Fax	042-35753202
Date of Listing	08/08/2005
Email	info@zephyr.com.pk
URL	www.zephyrtextiles.com
Registrar	THK Associates (Private) Limited
	
Representative	Mrs. Samera Irfan
Designation	Chief Executive Officer
Company	Khyber Tobacco Company Limited
Address	"Nowshera Malakand Road , Mardan,Khyber Pakhtoonkhwa"
Phone	(937)870380-844668-844669
Phone 2	3339883391
Fax	937-843329
Date of Listing	29/06/1968
Email	
URL	
Registrar	CDC Share Registrar Services Limited
	
Representative	Syed Ali Akbar
Designation	MD & Chief Executive Officer
Company	Pakistan Tobacco Company Limited
Address	"Serena Business Complex, , Khayaban-e-Suhrwardy,Islamabad"
Phone	051-2083200-01
Phone 2	
Fax	051-2604516-17
Date of Listing	02/01/1956
Email	
URL	www.ptc.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Roman Yazbeck
Designation	Chief Executive Officer
Company	Philip Morris (Pakistan) Limited
Address	"19th Floor, The Harbour Front, Dolmen City , HC-3, Block-4, Clifton,Karachi"
